,Time [],Temperature [C],N2O_2 [gN/h],O2_2 [mgO_2/m^3],Inflow_2 [l/s]
12568,12-Apr-2016 15:30:00,14.6142857142857,0.0836673082313141,2.00714285714286,6.78571428571429
12569,12-Apr-2016 15:45:00,14.6333333333333,0.0830537289032536,3.08,5.53333333333333
12570,12-Apr-2016 16:00:00,14.6,0.062041134141906,3.30666666666667,6.0
12571,12-Apr-2016 16:15:00,14.64,0.0451745924689855,2.77333333333333,6.13333333333333
12572,12-Apr-2016 16:30:00,14.6625,0.0469855971698178,1.8125,5.9375
12573,12-Apr-2016 16:45:00,14.7,0.0718587296893483,1.59333333333333,5.93333333333333
12574,12-Apr-2016 17:00:00,14.7,0.084421169140297,2.62142857142857,5.21428571428571
12575,12-Apr-2016 17:15:00,14.7066666666667,0.0670445480283777,3.60666666666667,10.4666666666667
12576,12-Apr-2016 17:30:00,14.7933333333333,0.0443956929271223,3.31333333333333,26.3333333333333
12577,12-Apr-2016 17:45:00,14.8,0.04047267077502,2.28,34.6666666666667
12578,12-Apr-2016 18:00:00,14.75625,0.059608401750928,1.475,32.5
12579,12-Apr-2016 18:15:00,14.7333333333333,0.0938799112045677,1.78,39.4666666666667
12580,12-Apr-2016 18:30:00,14.75,0.100176967590224,3.0,40.5714285714286
12581,12-Apr-2016 18:45:00,14.7333333333333,0.0897856357974921,3.06666666666667,53.8666666666667
12582,12-Apr-2016 19:00:00,14.7066666666667,0.0864203049810273,2.01333333333333,55.2
12583,12-Apr-2016 19:15:00,14.7,0.106689456282926,1.64,45.1333333333333
12584,12-Apr-2016 19:30:00,14.69375,0.127393616177781,2.225,39.9375
12585,12-Apr-2016 19:45:00,14.6533333333333,0.126403810195194,2.7,43.4666666666667
12586,12-Apr-2016 20:00:00,14.6285714285714,0.114815670784481,2.72857142857143,41.8571428571429
12587,12-Apr-2016 20:15:00,14.6,0.109869478023378,2.53333333333333,41.6
12588,12-Apr-2016 20:30:00,14.6,0.110923845352366,2.18666666666667,40.5333333333333
12589,12-Apr-2016 20:45:00,14.6,0.114695858383813,2.36666666666667,42.8
12590,12-Apr-2016 21:00:00,14.5875,0.114600803575915,2.46875,27.0625
12591,12-Apr-2016 21:15:00,14.5866666666667,0.114355710429212,2.46,16.8
12592,12-Apr-2016 21:30:00,14.5285714285714,0.114164565007748,2.6,14.1428571428571
12593,12-Apr-2016 21:45:00,14.5266666666667,0.110936520280436,2.66,8.33333333333333
12594,12-Apr-2016 22:00:00,14.5,0.111312621658747,2.65333333333333,8.26666666666667
12595,12-Apr-2016 22:15:00,14.5,0.113544398386247,2.59333333333333,7.73333333333333
12596,12-Apr-2016 22:30:00,14.5,0.113643672075712,2.475,13.125
12597,12-Apr-2016 22:45:00,14.5133333333333,0.110566870545752,2.50666666666667,23.9333333333333
12598,12-Apr-2016 23:00:00,14.5714285714286,0.108593150671822,2.60714285714286,13.8571428571429
12599,12-Apr-2016 23:15:00,14.6,0.106656649798616,2.56666666666667,5.46666666666667
12600,12-Apr-2016 23:30:00,14.5666666666667,0.10379415796117,2.50666666666667,6.06666666666667
12601,12-Apr-2016 23:45:00,14.5866666666667,0.103712436853986,2.63333333333333,8.13333333333333
12602,13-Apr-2016 00:00:00,14.5,0.0963480951675251,2.75625,6.4375
12603,13-Apr-2016 00:15:00,14.5266666666667,0.0941399014314174,2.52666666666667,8.46666666666667
12604,13-Apr-2016 00:30:00,14.5214285714286,0.0936267656579635,2.57142857142857,7.0
12605,13-Apr-2016 00:45:00,14.5066666666667,0.0887491977429324,2.67333333333333,11.8
12606,13-Apr-2016 01:00:00,14.54,0.0856317484185744,2.55333333333333,11.4666666666667
12607,13-Apr-2016 01:15:00,14.5,0.0836098080957359,2.5,7.4
12608,13-Apr-2016 01:30:00,14.5,0.0814137215564231,2.5625,5.625
12609,13-Apr-2016 01:45:00,14.5133333333333,0.07870794412831,2.58,6.0
12610,13-Apr-2016 02:00:00,14.55,0.0786916245901498,2.58571428571429,6.28571428571429
12611,13-Apr-2016 02:15:00,14.5733333333333,0.0784540053378166,2.49333333333333,5.46666666666667
12612,13-Apr-2016 02:30:00,14.6,0.0769778824275758,2.54666666666667,6.2
12613,13-Apr-2016 02:45:00,14.5266666666667,0.0747628455963528,2.52666666666667,6.2
12614,13-Apr-2016 03:00:00,14.50625,0.0712287146909703,2.56875,5.5625
12615,13-Apr-2016 03:15:00,14.5266666666667,0.0677034382630782,2.47333333333333,6.06666666666667
12616,13-Apr-2016 03:30:00,14.55,0.0716569316359949,2.27857142857143,6.07142857142857
12617,13-Apr-2016 03:45:00,14.5533333333333,0.0799785496642626,2.34666666666667,5.86666666666667
12618,13-Apr-2016 04:00:00,14.52,0.0792320571744247,2.82666666666667,6.33333333333333
12619,13-Apr-2016 04:15:00,14.52,0.0672809084074532,2.85333333333333,5.53333333333333
12620,13-Apr-2016 04:30:00,14.50625,0.0588353239301292,2.575,6.3125
12621,13-Apr-2016 04:45:00,14.5,0.0603857937997098,2.10666666666667,7.06666666666667
12622,13-Apr-2016 05:00:00,14.5,0.0700009697006876,2.17142857142857,6.21428571428571
12623,13-Apr-2016 05:15:00,14.5,0.0788952677157958,2.60666666666667,26.4666666666667
12624,13-Apr-2016 05:30:00,14.5,0.070802205072421,3.13333333333333,29.6666666666667
12625,13-Apr-2016 05:45:00,14.5,0.0599882972461783,2.62666666666667,45.3333333333333
12626,13-Apr-2016 06:00:00,14.53125,0.0664900851510397,1.84375,43.4375
12627,13-Apr-2016 06:15:00,14.5133333333333,0.0956102733957612,1.68,31.7333333333333
12628,13-Apr-2016 06:30:00,14.5,0.119380124831558,2.39285714285714,25.2142857142857
12629,13-Apr-2016 06:45:00,14.5266666666667,0.117893139225318,3.01333333333333,16.9333333333333
12630,13-Apr-2016 07:00:00,14.5,0.106984524336053,2.76666666666667,13.2
12631,13-Apr-2016 07:15:00,14.5,0.1031397417157,2.27333333333333,13.6666666666667
12632,13-Apr-2016 07:30:00,14.475,0.108265990239991,2.1125,10.25
