,Time [-],inflow [l/s],NH4_load [gN/h],NH4 [gN/m3],NO3 [gN/m3],NO2 [gN/m3],TS [g/l],DO [gO2/l],airflow [m3/h],level [m],temp [Ãƒâ€šÃ‚Â°C],pH [-],O2_Offgas [%],N2O [kgN/h],tank_nr,N2O [kgN/h]_delay_1,N2O [kgN/h]_delay_2,N2O [kgN/h]_delay_3,N2O [kgN/h]_delay_4,N2O [kgN/h]_delay_5,percent_change,modified
86,04/04/2018 02:20,0.3412209,30.38606,0.5314058,4.209811,0.0,3.734869,2.966793,1018.31,5.671974,12.6,6.949998,17.96143,0.9443806,5.0,1.795897,2.940067,3.374242,4.153209,0.1133909,0.0,0.0
87,04/04/2018 02:40,1.42911,117.586,0.3576019,4.600507,0.0,3.726519,3.796341,1018.31,5.669999,12.6,6.961436,18.16643,0.8475472,5.0,0.9443806,1.795897,2.940067,3.374242,4.153209,0.0,0.0
88,04/04/2018 03:00,1.39092,119.6632,0.3440503,4.969808,0.0,3.734946,4.439368,1018.31,5.669999,12.6,6.983398,18.29753,0.7999471,5.0,0.8475472,0.9443806,1.795897,2.940067,3.374242,0.0,0.0
89,04/04/2018 03:20,1.011089,76.24196,0.3502374,5.372057,0.0,3.723297,5.046548,1018.31,5.669999,12.6,7.005084,18.54253,0.7271012,5.0,0.7999471,0.8475472,0.9443806,1.795897,2.940067,0.0,0.0
90,04/04/2018 03:40,1.133127,90.34001,0.3013987,5.728134,0.0,3.724223,5.185541,582.5427,5.669999,12.6,7.005353,19.70506,0.11123003316052457,5.0,0.7271012,0.7999471,0.8475472,0.9443806,1.795897,-0.624386303660689,1.0
91,04/04/2018 06:40,143.662,11849.87,3.254364,3.688299,0.0,3.425665,1.419592,1483.193,4.79537,12.39069,7.160532,19.29558,0.1033129,5.0,0.2961288,0.7271012,0.7999471,0.8475472,0.9443806,0.0,0.0
92,04/04/2018 07:00,136.6283,11000.38,2.032758,3.889436,0.0,3.541486,2.700142,1548.519,5.163708,12.27618,7.021966,18.55931,0.08948037,5.0,0.1033129,0.2961288,0.7271012,0.7999471,0.8475472,0.0,0.0
93,04/04/2018 07:20,92.71967,7304.402,1.14467,4.109057,0.0,3.442638,2.773587,1269.217,5.566254,12.2,7.023951,17.56826,0.021250627797305584,5.0,0.08948037,0.1033129,0.2961288,0.7271012,0.7999471,-0.7428786097741527,1.0
94,04/04/2018 07:40,0.0,0.0,0.2287157,4.436886,0.0,3.598066,3.268051,1018.31,5.606702,12.2,6.978581,17.50156,0.06537594,5.0,0.08264823,0.08948037,0.1033129,0.2961288,0.7271012,0.0,0.0
95,04/04/2018 08:00,0.129299,6.815295,0.0,4.814802,0.0,3.703895,4.725588,888.2491,5.59248,12.2,6.987443,17.98425,0.05350383,5.0,0.06537594,0.08264823,0.08948037,0.1033129,0.2961288,0.0,0.0
96,04/04/2018 08:40,1.793446,98.35573,0.0,5.37124,0.0,3.74266,2.702725,238.6156,5.580001,12.2,6.986054,20.65845,0.002126302,5.0,0.05350383,0.06537594,0.08264823,0.08948037,0.1033129,0.0,0.0
97,04/04/2018 11:40,1.779972,133.7301,4.099999,3.029999,0.0,3.425103,1.420625,864.1287,3.99067,12.48638,6.980001,18.48524,0.000627181,5.0,0.002126302,0.05350383,0.06537594,0.08264823,0.08948037,0.0,0.0
98,04/04/2018 12:00,286.5684,33496.54,9.509361,3.977063,0.0,3.744345,1.135102,1138.217,4.597819,12.58329,7.16337,18.14966,0.000920224,5.0,0.000627181,0.002126302,0.05350383,0.06537594,0.08264823,0.0,0.0
99,04/04/2018 12:20,153.727,18250.54,10.97853,4.085603,0.0,3.493599,2.229856,2529.326,5.070073,12.69993,7.130941,18.74159,0.03442084,5.0,0.000920224,0.000627181,0.002126302,0.05350383,0.06537594,0.0,0.0
100,04/04/2018 12:40,57.53508,6860.013,8.350538,4.64115,0.0,3.587643,2.26545,2386.674,5.364703,12.71922,7.027341,18.29839,0.1195324,5.0,0.03442084,0.000920224,0.000627181,0.002126302,0.05350383,0.0,0.0
101,04/04/2018 13:00,0.387345,36.9535,4.583407,5.385876,0.0,3.847884,2.506085,1779.445,5.39,12.8,6.974563,18.05224,0.04090102687545359,5.0,0.1195324,0.03442084,0.000920224,0.000627181,0.002126302,-0.7336617858183112,1.0
102,04/04/2018 13:20,1.387976,146.8194,2.241808,5.938537,0.0,3.882944,2.555723,1648.355,5.39,12.8,6.938118,17.55299,0.1907473,5.0,0.153568,0.1195324,0.03442084,0.000920224,0.000627181,0.0,0.0
103,04/04/2018 13:40,2.019048,201.7627,0.5367442,6.490063,0.0,3.889683,2.67929,1234.132,5.39,12.8,6.898092,17.74648,0.011821820350063489,5.0,0.1907473,0.153568,0.1195324,0.03442084,0.000920224,-0.9299086323019068,1.0
104,04/04/2018 14:00,0.7613313,81.62955,0.0,7.048325,0.0,3.859933,2.345394,146.7961,5.39,12.82394,6.88,18.96522,0.001045989643222698,5.0,0.168663,0.1907473,0.153568,0.1195324,0.03442084,-0.950687755015534,1.0
105,04/04/2018 17:00,0.759094,75.94842,0.1865163,5.838634,0.0,1.825961,0.9560269,464.8611,4.009446,12.7,6.909934,19.33044,0.8434819,5.0,0.02121156,0.168663,0.1907473,0.153568,0.1195324,0.0,0.0
106,04/04/2018 17:20,310.6602,34081.48,0.4039746,4.220818,0.0,4.694194,2.968909,989.5795,4.140435,12.68465,6.937901,18.10064,2.344207,5.0,0.8434819,0.02121156,0.168663,0.1907473,0.153568,0.0,0.0
107,04/04/2018 17:40,354.0193,38129.27,8.292879,3.962741,0.0,3.387483,1.920966,2814.985,5.433359,12.6,7.070113,18.61598,4.401857,5.0,2.344207,0.8434819,0.02121156,0.168663,0.1907473,0.0,0.0
108,04/04/2018 18:00,291.5463,30486.49,12.32739,3.889925,0.0,2.646807,1.746346,2531.462,6.390072,12.6,7.181128,18.57373,2.895397,5.0,4.401857,2.344207,0.8434819,0.02121156,0.168663,0.0,0.0
